,id,created_at,full_text,Station1,Station1_Index,Station2,Station2_Index,Line1,Line2
6,9.86E+17,18/4/2018,"[EWL] UPDATE: Due to a track fault, train service between #Tampines and #PasirRis will be delayed for 20mins. Free regular bus svcs between #Tampines and #PasirRis is available.",pasir ris,EW1,tampines,EW2,EWL,NA
12,9.83E+17,9/4/2018,"[EWL] UPDATE: Due to a track fault, pls add 10mins train travel time from #Clementi to #JooKoon towards #JooKoon. We are working to recover svc.",clementi,EW23,joo koon,EW29,EWL,NA
15,9.83E+17,9/4/2018,"[EWL] UPDATE: Due to a track fault, pls add 25mins train travel time from #JurongEast to #JooKoon towards #JooKoon. We are working to recover svc.",jurong east,NS1,joo koon,EW29,EWL,NA
17,9.83E+17,8/4/2018,"[EWL] UPDATE: Due to a track fault, pls add 20mins train travel time from #JurongEast to #JooKoon towards #JooKoon.",jurong east,NS1,joo koon,EW29,EWL,NA
24,9.66E+17,19/2/2018,Track improvement works in the North-South Line southbound tunnel near #RafflesPlace are expected to complete by Mar.Pls add up to 15mins train travel time towards #MarinaSouthPier.We seek your understanding as we improve the infrastructure in our network. https://t.co/0gE90xXAYK,marina south pier,NS28,raffles place,NS26,NSL,NA
26,9.65E+17,19/2/2018,"[NSL] UPDATE: Due to on going track improvement work, please add 10mins train travel time from #AngMoKio to #RafflesPlace.",ang mo kio,NS16,raffles place,NS26,NSL,NA
30,9.64E+17,14/2/2018,"[NSL Update]: Due to maintenance work, trains are travelling slower near #RafflesPlace. Please add 10mins additional train travel time from #AngMoKio to #Raffles Place before 10am on Wed, 14 Feb.",ang mo kio,NS16,raffles place,NS26,NSL,NA
31,9.64E+17,13/2/2018,"[NSL]: Due to maintenance work, south-bound trains are travelling slower near #RafflesPlace. Please add 20mins additional train travel time from #AngMoKio to #RafflesPlace before 10am on Wed, 14 Feb.",ang mo kio,NS16,raffles place,NS26,NSL,NA
33,9.61E+17,7/2/2018,"[NSL] UPDATE: Due to on going track improvement work, please add 5mins train travel time from #AngMoKio to #RafflesPlace.",ang mo kio,NS16,raffles place,NS26,NSL,NA
36,9.61E+17,7/2/2018,"[NSL]: Due to a signalling fault, pls add 15mins train travel time from #AngMoKio to #RafflesPlace towards #MarinaSouthPier.",marina south pier,NS28,ang mo kio,NS16,NSL,NA
40,9.54E+17,18/1/2018,[BPLRT]: No train service between #ChoaChuKang and #Phoenix due to a train fault.  Free bridging bus services available across BPLRT.  Free regular bus services available at affected stations.,phoenix,BP5,choa chu kang,NS4,BPL,NA
48,9.51E+17,10/1/2018,"[EWL]: Due to a track fault, pls add 20mins train travel time from #OutramPark to #Bugis towards #PasirRis. Free regular bus svcs btwn #OutramPark and #Bugis. Our station staff will assist.",outram park,EW16,pasir ris,EW1,EWL,NA
52,9.48E+17,2/1/2018,"[EWL] UPDATE: Fault cleared, train services are progressively being restored. Pls add 10mins train travel time btwn #TanahMerah and #ChangiAirport.",changi airport,CG2,tanah merah,EW4,EWL,NA
54,9.48E+17,1/1/2018,"[EWL]: Track signalling fault recurred, pls add 20mins train travel time btwn #TanahMerah and #ChangiAirport.",changi airport,CG2,tanah merah,EW4,EWL,NA
66,9.45E+17,25/12/2017,[NSL]UPDATE:Train services resumed. Pls expect add 20mins train travel time btwn  #ChoaChuKang and #Woodlands. Free regular bus services are still available between #ChoaChuKang and #Woodlands.,choa chu kang,NS4,woodlands,NS9,NSL,NA
67,9.45E+17,25/12/2017,"[NSL]: Due to a signalling fault at Yew Tee station, train services btwn #ChoaChuKang and #Woodlands will be delay for about 30 mins. Free regular bus service is available between #Choa Chu Kang and #Woodlands.",choa chu kang,NS4,yew tee,NS5,NSL,NA
76,9.39E+17,6/12/2017,"[EWL]: Due to a train fault, there is no train svc btwn #BoonLay and #GulCircle.",boon lay,EW27,gul circle,EW30,EWL,NA
81,9.31E+17,17/11/2017,"[EWL]: Train svcs btwn #JooKoon &amp; #TuasLink will continue to be suspended till Sun, 19 Nov. Free regular &amp; bridging bus svcs will be avail btwn #JooKoon &amp; #TuasLink all day. Plan your journey &amp; cater for additional train travel time. Alternative transport: https://t.co/4Qu9aPQESU",tuas link,EW33,joo koon,EW29,EWL,NA
82,9.31E+17,16/11/2017,[EWL]: Train svcs btwn #JooKoon &amp; #TuasLink will continue to be suspended tmr. Free regular &amp; bridging bus svcs will be avail btwn #JooKoon &amp; #TuasLink all day tmr. Plan your journey early &amp; cater for additional train travel time on EWL. Other transport: https://t.co/LmN15nP6k6.,tuas link,EW33,joo koon,EW29,EWL,NA
86,9.31E+17,15/11/2017,"[NSL] UPDATE: Due to fewer trains serving the NSL tmr, pls add 40mins train travel time. Free bridging bus svcs from #Yishun to #MarinaSouthPier (one way) and free regular bus svcs between #Yishun and #MarinaSouthPier (both directions) are avail from the start of train service.",marina south pier,NS28,yishun,NS13,NSL,NA
87,9.31E+17,15/11/2017,[EWL]UPDATE:Train svcs btwn #JooKoon &amp; #TuasLink will be suspended tmr. Free regular bus &amp; bridging bus svcs will be avail btwn #JooKoon &amp; #TuasLink all day tmr. Plan your journey early &amp; cater for additional train travel time on EWL.Alternative transport:https://t.co/LmN15nP6k6.,tuas link,EW33,joo koon,EW29,EWL,NA
89,9.31E+17,15/11/2017,[NSL] UPDATE: Pls add 40 mins train travel time when commuting on the NSL. Free bridging bus services from #Bishan to #Yishun (one way) and free regular bus services btwn #Bishan and #Yishun (both directions) are still avail. Commuters are advised to take alternative train lines.,yishun,NS13,bishan,NS17,NSL,NA
95,9.31E+17,15/11/2017,[EWL] UPDATE: Please add 10 mins train travel time between #BoonLay and #TuasLink. Free regular bus services are still available between #JurongEast and #TuasLink.,jurong east,NS1,tuas link,EW33,EWL,NA
102,9.31E+17,15/11/2017,"[CCL] CLEARED: Fault cleared but trains and stations are crowded. Due to congestion, pls add 5mins travel time towards #HarbourFront. Free regular bus service still available.",dhoby ghaut,CC1,harbourfront,CC29,CCL,NA
103,9.31E+17,15/11/2017,[EWL]: Pls add 20mins train travel time btwn #JurongEast and #JooKoon due to a train fault at #JooKoon. Train svc is available.,jurong east,NS1,joo koon,EW29,EWL,NA
108,9.31E+17,14/11/2017,[CCL]: Due to a Signal fault between #Farrer Road and # Buona Vista .Pls add 20mins train travel time between #Buona Vista and HarbourFornt on both bounds.,buona vista,EW21,farrer road,CC20,CCL,NA
112,9.29E+17,10/11/2017,[EWL] UPDATE: No train service from #Bugis to #TanahMerah towards #PasirRis due to a train fault at #Aljunied until the end of train service. We are sorry that your journey this evening has been affected.,pasir ris,EW1,bugis,EW12,EWL,NA
115,9.29E+17,10/11/2017,"[EWL]:Due to a train fault,pls add one hour train travel time from #TiongBahru to #PasirRis.Not linked to new signalling project.",pasir ris,EW1,tiong bahru,EW17,EWL,NA
119,9.29E+17,10/11/2017,"[EWL]:Due to a train fault,pls add 30min train travel time from #Bugis to #Queenstown towards #TuasLink.Not linked to new signalling project",tuas link,EW33,queenstown,EW19,EWL,NA
123,9.29E+17,9/11/2017,"[NSL]:Due to a train fault, pls add 20mins train travel time from #Yishun to #AngMoKio. (Not linked to new signalling project).",yishun,NS13,ang mo kio,NS16,NSL,NA
126,9.27E+17,4/11/2017,"[EWL]: Due to a track point fault, pls add 10mins train travel time from #Queenstown to #JurongEast. (Not linked to new signalling project).",jurong east,NS1,queenstown,EW19,EWL,NA
133,9.24E+17,26/10/2017,"[NSL]: Due to a track fault, pls add 20mins train travel time from #AngMoKio to #Bishan towards #MarinaSouthPier.",marina south pier,NS28,ang mo kio,NS16,NSL,NA
135,9.23E+17,25/10/2017,[NSL] UPDATE: Please add 10mins train travel time from #Yishun to #ToaPayoh. Free bus &amp; bridging bus services are available.,toa payoh,NS19,yishun,NS13,NSL,NA
137,9.23E+17,24/10/2017,"[NSL] UPDATE: Due to a track fault, trains to city will travel slower btwn #AngMoKio &amp; #Bishan. Free bus and bridging bus svcs are avail.",ang mo kio,NS16,bishan,NS17,NSL,NA
138,9.23E+17,24/10/2017,"[NSL]: Due to a track fault, pls add 20mins train travel time from #Yishun to #ToaPayoh SouthBound. (Not linked to new signalling project).",toa payoh,NS19,yishun,NS13,NSL,NA
162,9.17E+17,7/10/2017,[NSL] UPDATE: No train svc btwn #AngMoKio and #ToaPayoh due to a track fault at #Bishan.,toa payoh,NS19,ang mo kio,NS16,NSL,NA
163,9.17E+17,7/10/2017,"[NSL] Due to a track fault, there is no train svc from #Bishan to #ToaPayoh towards #MarinaSouthPier. (Not linked to new signalling project)",toa payoh,NS19,marina south pier,NS28,NSL,NA
166,9.16E+17,4/10/2017,"[NSL]: Due to an earlier train fault on the new signalling system, pls add 10 mins train travel time btwn #ChoaChuKang and #JurongEast.",jurong east,NS1,choa chu kang,NS4,NSL,NA
170,9.13E+17,28/9/2017,[EWL] UPDATE: Train svcs are progressively being restored. Pls add 10mins train travel time btwn #TanahMerah and #PasirRis.,pasir ris,EW1,tanah merah,EW4,EWL,NA
173,9.13E+17,27/9/2017,[EWL] UPDATE: Train svcs has resumed. Pls add 20mins travel time btwn #TanahMerah and #PasirRis due to track point fault.,pasir ris,EW1,tanah merah,EW4,EWL,NA
174,9.13E+17,27/9/2017,"[EWL]:Due to track point fault,pls expect 30mins delay train travel time btwn Tampines &amp; PasirRis.(Not linked to new signalling project).",pasir ris,EW1,tampines,EW2,EWL,NA
183,9.09E+17,15/9/2017,"[NSL]: Due to a signalling fault on the new signalling system, pls add 20mins train travel time btwn #MarinaSouthPier and #ToaPayoh.",toa payoh,NS19,marina south pier,NS28,NSL,NA
189,9.07E+17,11/9/2017,[CCL Update] Pls add 30mins additional travelling time from #PayaLebar to   #BuonaVista due to train fault. Free Regular bus available.,paya lebar,EW8,buona vista,EW21,CCL,NA
195,9.06E+17,9/9/2017,[BPLRT] UPDATE: No train service on Service A and B due to train fault. Free bus bridging services are available.,choa chu kang,BP1,fajar,BP10,BPL,NA
203,9.03E+17,31/8/2017,[NSL] UPDATE: Pls add 15mins train travel time from #JurongEast to #Yishun. We are working to recover svc.,jurong east,NS1,yishun,NS13,NSL,NA
207,9.03E+17,30/8/2017,[EWL] UPDATE: Additional train travel time reduced to 5mins from #JurongEast to #Redhill due to a track fault. Train svc is available.,jurong east,NS1,redhill,EW18,EWL,NA
211,9.00E+17,23/8/2017,[NSL] UPDATE: Pls expect slightly longer train travel time between #YewTee and #JurongEast on the NSL this evening.,jurong east,NS1,yew tee,NS5,NSL,NA
216,9.00E+17,22/8/2017,"[NSL]: Due to a track fault, pls add 15mins train travel time from #YewTee to #JurongEast. (Not linked to new signalling project).",jurong east,NS1,yew tee,NS5,NSL,NA
220,8.98E+17,18/8/2017,"[NSL]: If you intend to travel on the North-South Line later, pls plan ahead. You may experience longer train travel time.",jurong east,NS1,marina south pier,NS28,NSL,NA
222,8.98E+17,18/8/2017,[NSL]UPDATE:Pls add 15mins train travel time btwn #MarinaSouthPier and #Sembawang.Free regular bus &amp; free bridging bus svcs are still avail.,sembawang,NS11,marina south pier,NS28,NSL,NA
227,8.98E+17,17/8/2017,"[NSL]UPDATE:Pls add 45mins train travel time between #MarinaSouthPier &amp; #Sembawang,due to a signalling system fault.Train svc is available.",sembawang,NS11,marina south pier,NS28,NSL,NA
229,8.98E+17,17/8/2017,"[NSL]: Due to a New Signalling System fault near Ang Mo Kio, pls add 30mins travel time btwn #sembawang &amp; #Marina South Pier.",sembawang,NS11,ang mo kio,NS16,NSL,NA
231,8.98E+17,17/8/2017,"[NSL]UPDATE:Pls add 15mins train travel time between #MarinaSouthPier &amp; #Yishun,due to a new signalling system fault.Train svc is available.",marina south pier,NS28,yishun,NS13,NSL,NA
239,8.96E+17,12/8/2017,"BPLRT: Due to train fault, Service B temporarily suspended.  Only Service A running.",choa chu kang,BP1,fajar,BP10,BPL,NA
243,8.90E+17,27/7/2017,"BPLRT: Due to train fault, only Service B still running. Service A affected",choa chu kang,BP1,fajar,BP10,BPL,NA
253,8.90E+17,25/7/2017,"[EWL] UPDATE: Due to an earlier track circuit fault at #Commonwealth, pls add 25 mins train travel time from #JooKoon to #TiongBahru.",tiong bahru,EW17,commonwealth,EW20,EWL,NA
254,8.90E+17,25/7/2017,"[EWL]: Due to an earlier track circuit fault at #Commonwealth, pls add 20 mins train travel time from #JooKoon to #Commonwealth.",commonwealth,EW20,joo koon,EW29,EWL,NA
260,8.90E+17,25/7/2017,[NSEWL] UPDATE: Trains are running at longer intervals due to intermittent power fault. Our engineers are carrying out checks.,jurong east,NS1,marina south pier,NS28,NSL,NA
260,8.90E+17,25/7/2017,[NSEWL] UPDATE: Trains are running at longer intervals due to intermittent power fault. Our engineers are carrying out checks.,pasir ris,EW1,tuas link,EW33,EWL,NA
262,8.90E+17,24/7/2017,Trains running at longer intervals due to intermittent power fault on NSEWL. Crowds expected at stations.,jurong east,NS1,marina south pier,NS28,NSL,NA
262,8.90E+17,24/7/2017,Trains running at longer intervals due to intermittent power fault on NSEWL. Crowds expected at stations.,pasir ris,EW1,tuas link,EW33,EWL,NA
268,8.88E+17,21/7/2017,"[EWL]:Due to a track fault(not related to new signalling system),Pls add 15mins travel time from #Clementi to #TanjongPagar towards PasirRis",tanjong pagar,EW15,pasir ris,EW1,EWL,NA
271,8.88E+17,20/7/2017,[BPLRT] No train service betwn #ChoaChuKang to #BukitPanjang due to a train fault. Free regular bus &amp; bus bridging services are available.,bukit panjang,DT1,choa chu kang,BP1,BPL,NA
274,8.85E+17,12/7/2017,[NSL] UPDATE: No train service between #JurongEast &amp; #ChoaChuKang due to a power fault. Free bus bridging services are available.,jurong east,NS1,choa chu kang,NS4,NSL,NA
277,8.85E+17,12/7/2017,"[NSL] No train service between #JurongEast &amp; #Kranji, #Queenstown &amp; #tuaslink due to a power fault. Est resumption time: 00:30am.",jurong east,NS1,tuas link,EW33,NSL,NA
279,8.85E+17,12/7/2017,"[EWL]UPDATE:Pls add 5 mins travel time from #JooKoon towards #Clementi,due to a track circuit fault at #JurongEast. Train svc is available.",jurong east,NS1,clementi,EW23,EWL,NA
280,8.85E+17,12/7/2017,"[EWL]: Due to a track circuit fault, pls add 10 mins travel time from #JooKoon to #Clementi towards #PasirRis. Train service is available.",clementi,EW23,pasir ris,EW1,EWL,NA
285,8.84E+17,10/7/2017,[EWL] UPDATE: Pls cater 15 mins additional travel time between #Queenstown &amp; #Bugis. We are working to recover service.,queenstown,EW19,bugis,EW12,EWL,NA
292,8.83E+17,7/7/2017,[NSL] UPDATE: Pls cater 10mins additional travel time between #Woodlands &amp; #JurongEast. We are working to recover service.,jurong east,NS1,woodlands,NS9,NSL,NA
296,8.83E+17,5/7/2017,"[EWL]UPDATE:Pls add 10 mins travel time from #JurongEast to #JooKoon,due to an earlier train fault at #JooKoon. Train svc is available.",jurong east,EW24,joo koon,EW29,EWL,NA
299,8.81E+17,30/6/2017,"[NSL]UPDATE:Pls add 10mins travel time from #Woodlands to #AngMoKio, due to a track point fault at #AngMoKio. Train svc is still available.",ang mo kio,NS16,woodlands,NS9,NSL,NA
301,8.81E+17,29/6/2017,"[NSL]UPDATE: Pls add 10mins travel time from #Woodlands to #AngMoKio, due to a track point fault at #AngMoKio. Train svc is still available.",ang mo kio,NS16,woodlands,NS9,NSL,NA
310,8.80E+17,28/6/2017,[NSL] UPDATE: Please add about 15 mins travel time on the #NSL. Train services between #JUR and #MSP are running both bounds.,jurong east,NS1,marina south pier,NS28,NSL,NA
323,8.75E+17,14/6/2017,"[EWL]UPDATE: Due to a track circuit fault at #BuonaVista,pls add 5mins travel time from #Redhill to #Dover,train svc is still available.",redhill,EW18,buona vista,EW21,EWL,NA
