	id	created_at	full_text
9	986483052779003904	2018-04-18 05:54:22	[ewl]: due to a track fault, pls add 30mins train travel time between #tampines and #pasirris. free regular bus svcs between #tampines and #pasirris. our station staff will assist.
18	983126517403168770	2018-04-08 23:36:42	[ewl]: due to a track fault, pls add 15mins train travel time from #jurongeast to #jookoon towards #jookoon.
36	961030371159678976	2018-02-07 00:14:30	[nsl]: due to a signalling fault, pls add 15mins train travel time from #angmokio to #rafflesplace towards #marinasouthpier.
39	953913560198885376	2018-01-18 08:54:50	[bplrt] fault cleared. normal train services across bplrt gradually being restored.  free regular bus services and bridging bus services available until 1700hrs.
40	953902791931527168	2018-01-18 08:12:02	[bplrt]: no train service between #choachukang and #phoenix due to a train fault.  free bridging bus services available across bplrt.  free regular bus services available at affected stations.
45	951704224835907584	2018-01-12 06:35:43	[bplrt] no train service on bplrt due to track fault. free regular bus and bridging bus are now available at affected stations.
48	951216982266822656	2018-01-10 22:19:35	[ewl]: due to a track fault, pls add 20mins train travel time from #outrampark to #bugis towards #pasirris. free regular bus svcs btwn #outrampark and #bugis. our station staff will assist.
54	947979083685572609	2018-01-01 23:53:20	[ewl]: track signalling fault recurred, pls add 20mins train travel time btwn #tanahmerah and #changiairport.
61	947947850725408769	2018-01-01 21:49:14	[ewl]: due to a track signalling fault, pls add 30mins train travel time btwn #changiairport and #tanahmerah. free regular bus are available between #tanah merah and #changi airport.
67	945306514692087808	2017-12-25 14:53:30	[nsl]: due to a signalling fault at yew tee station, train services btwn #choachukang and #woodlands will be delay for about 30 mins. free regular bus service is available between #choa chu kang and #woodlands.
68	945303964571938816	2017-12-25 14:43:22	[nsl]: due to a signalling fault at yew tee station, train services btwn #choa chu kang and #woodlandwill be delay for about 30 mins. free regular bus service is available between #choa chu kang and #woodland.
76	938519039512424449	2017-12-06 21:22:30	[ewl]: due to a train fault, there is no train svc btwn #boonlay and #gulcircle.
102	930594852957429761	2017-11-15 00:34:37	[ccl] cleared: fault cleared but trains and stations are crowded. due to congestion, pls add 5mins travel time towards #harbourfront. free regular bus service still available.
103	930592553434464256	2017-11-15 00:25:28	[ewl]: pls add 20mins train travel time btwn #jurongeast and #jookoon due to a train fault at #jookoon. train svc is available.
108	930566250106781696	2017-11-14 22:40:57	[ccl]: due to a signal fault between #farrer road and # buona vista .pls add 20mins train travel time between #buona vista and harbourfornt on both bounds.
109	930563197345468416	2017-11-14 22:28:49	[ccl]: due to a signal  fault trains are moving slower between #botanicgardens and #hawparvilla.  we are investigating the fault.
