id	created_at	full_text
991896717866876928	2018-05-03 04:26:20	seven north-south line stations from khatib to novena will have shorter operational hours every weekend from 4 to 27 may. shuttle bus services will be available between the stations. plan your journey ahead and take other train lines and bus services. https://t.co/h0dynmxjk3 https://t.co/lio72ujuv2
990985880771944448	2018-04-30 16:07:00	to all our true smrt heroes who work hard to serve our commuters and bring them better journeys, happy labour day! https://t.co/mkt9gsohpe
986490755270066176	2018-04-18 06:24:58	[ewl] cleared: train service between #tampines and #pasirris has resumed. free regular bus svc between #tampines and #pasirris has ceased. we apologize for any inconvenience caused.
986489619725168640	2018-04-18 06:20:28	[ewl] cleared: train service between #tampines and #pasirris has progressively returned to normal. free regular bus svc between #tampines and #pasirris is still available.
986489026080198656	2018-04-18 06:18:06	[ewl] cleared: train service between #tampines and #pasirris has progressively returned to normal. we are sorry for any inconvenience caused.
986488126800445440	2018-04-18 06:14:32	[ewl] update: train service between #tampines and #pasirris is expected to resume in 10mins.
986487062508453891	2018-04-18 06:10:18	[ewl] update: due to a track fault, train service between #tampines and #pasirris will be delayed for 20mins. free regular bus svcs between #tampines and #pasirris is available.
986486038397726721	2018-04-18 06:06:14	[ewl] update: due to a track fault, train service between #tampines and #pasirris will be delayed for 25mis. free regular bus svcs between #tampines and #pasirris. our station staff will assist.
986483929065504769	2018-04-18 05:57:51	[ewl] update: due to a track fault, train service between #tampines and #pasirris will be delayed for 30mis. free regular bus svcs between #tampines and #pasirris. our station staff will assist.
986483052779003904	2018-04-18 05:54:22	[ewl]: due to a track fault, pls add 30mins train travel time between #tampines and #pasirris. free regular bus svcs between #tampines and #pasirris. our station staff will assist.
983971759295643649	2018-04-11 07:35:23	starting this week, #bukitpanjanglrt will close on every sun from 15 apr to 24 jun to allow our team to have more time to carry out planned maintenance works. shuttle bus svcs will be avail during the affected days. pls plan ahead for your journey. https://t.co/h9qqwef6t0 https://t.co/gez7dbv0ih
983167189879439360	2018-04-09 02:18:19	[ewl] update: train service on the ewl has resumed. trains are running normally now.
983161475782008832	2018-04-09 01:55:36	[ewl] update: due to a track fault, pls add 10mins train travel time from #clementi to #jookoon towards #jookoon. we are working to recover svc.
983155693657063424	2018-04-09 01:32:38	[ewl] update: due to a track fault, pls add 20mins train travel time from #clementi to #jookoon towards #jookoon. we are working to recover svc.
983146798049935365	2018-04-09 00:57:17	[ewl] update: due to a track fault, pls add 25mins train travel time from #clementi to #jookoon towards #jookoon. we are working to recover svc.
983143219306250240	2018-04-09 00:43:04	[ewl] update: due to a track fault, pls add 25mins train travel time from #jurongeast to #jookoon towards #jookoon. we are working to recover svc.
983138243284615168	2018-04-09 00:23:17	[ewl] update: due to a track fault, pls add 20mins train travel time from #jurongeast to #jookoon towards #jookoon. we are working to recover service.
983131062774611968	2018-04-08 23:54:45	[ewl] update: due to a track fault, pls add 20mins train travel time from #jurongeast to #jookoon towards #jookoon.
983126517403168770	2018-04-08 23:36:42	[ewl]: due to a track fault, pls add 15mins train travel time from #jurongeast to #jookoon towards #jookoon.
980741333399715840	2018-04-02 09:38:49	all 35 ewl stns from tuas link to pasir ris &amp; from tanah merah to changi airport will have shorter operational hrs every weekend from 6 to 29 april. shuttle bus svcs will be available between the stns. plan ahead &amp; take other train lines and bus svcs. https://t.co/t4tkb8jmha https://t.co/u47by0op8m
971670198859083777	2018-03-08 08:53:22	gentle reminder that svc improvement has been made to shuttle bus svc 6 for better connectivity. shuttle bus svc 6 will now be extended to ply from raffles place to paya lebar stns (both bounds). https://t.co/bv3qfqrven https://t.co/22cplp1jyr
971667933477793792	2018-03-08 08:44:22	all ewl stns from tuas link to pasir ris &amp; from tanah merah to changi airport will have shorter operational hrs every weekend &amp; selected weekdays from 2 mar to 1 apr.shuttle bus svcs will be avail btwn the stns.plan ahead &amp; take other train lines/bus svcs. https://t.co/eeqwj0bkfu https://t.co/qj7qmvo9lj
970147448344604672	2018-03-04 04:02:30	here’s a sneak peek of our smrt’s new uniforms, fresh from the oven! it’s been nine years since the last transformation and our staff are excited to serve you with this fresh look starting tomorrow! look out for them at all our mrt stations and say hi! https://t.co/fdi5wbznll
969170152825634817	2018-03-01 11:19:05	all ewl stns from tuas link to pasir ris &amp; from tanah merah to changi airport will have shorter operational hrs every weekend &amp; selected weekdays from 2 mar to 1 apr. shuttle bus svcs will be avail btwn the stns.plan ahead &amp; take other train lines/bus svcs.https://t.co/cacawzpv5i https://t.co/c4fsaeuewg
965548104115109889	2018-02-19 11:26:21	track improvement works in the north-south line southbound tunnel near #rafflesplace are expected to complete by mar.pls add up to 15mins train travel time towards #marinasouthpier.we seek your understanding as we improve the infrastructure in our network. https://t.co/0ge90xxayk
965409973780996096	2018-02-19 02:17:28	[nsl] cleared: train svcs from #angmokio to #rafflesplace are running normally now.
965405827027779589	2018-02-19 02:01:00	[nsl] update: due to on going track improvement work, please add 10mins train travel time from #angmokio to #rafflesplace.
